rr,gr,br,tr,tg,tb
0.94,0.39,0.24,1,0,0
0.96,0.44,0.22,0.941176471,0,0
0.93,0.34,0.27,0.784313725,0,0
0.74,0.27,0.15,0.62745098,0,0
0.4,0.16,0.09,0.482352941,0,0
0.29,0.1,0.01,0.392156863,0,0
0.27,0.78,0.34,0,1,0
0.32,0.77,0.31,0,0.941176471,0
0.23,0.74,0.35,0,0.784313725,0
0.22,0.69,0.32,0,0.62745098,0
0.14,0.44,0.13,0,0.482352941,0
0.1,0.37,0.11,0,0.392156863,0
0.13,0.48,0.78,0,0,1
0.12,0.51,0.78,0,0,0.941176471
0.05,0.4,0.73,0,0,0.784313725
0.1,0.39,0.74,0,0,0.62745098
0.18,0.34,0.64,0,0,0.482352941
0.08,0.22,0.57,0,0,0.392156863
0.98,0.98,0.38,1,1,0
0.25,0.76,0.97,0,1,1
0.96,0.26,0.61,1,0,1
0.44,0.49,0.17,0.482352941,0.482352941,0
0.05,0.32,0.34,0,0.482352941,0.482352941
0.55,0.13,0.33,0.482352941,0,0.482352941
0.97,0.64,0.25,1,0.482352941,0
0.96,0.39,0.49,1,0,0.482352941
0.44,0.8,0.32,0.482352941,1,0
0.33,0.38,0.69,0.482352941,0,1
0.27,0.77,0.5,0,1,0.482352941
0.97,0.66,0.6,1,0.482352941,0.482352941
0.44,0.73,0.89,0.482352941,0.482352941,1
