R,G,B,RR,GG,BB,RGB,RG,RB,GB,True R,True G,True B
356,626,509,126736,391876,259081,113433704,222856,181204,318634,0,0,0
764,878,808,583696,770884,652864,541999936,670792,617312,709424,255,255,255
400,646,528,160000,417316,278784,136435200,258400,211200,341088,10,0,0
408,658,542,166464,432964,293764,145507488,268464,221136,356636,20,0,0
410,658,540,168100,432964,291600,145681200,269780,221400,355320,30,0,0
414,670,536,171396,448900,287296,148675680,277380,221904,359120,40,0,0
415,665,544,172225,442225,295936,150130400,275975,225760,361760,50,0,0
423,668,530,178929,446224,280900,149758920,282564,224190,354040,60,0,0
440,674,550,193600,454276,302500,163108000,296560,242000,370700,70,0,0
448,669,545,200704,447561,297025,163343040,299712,244160,364605,80,0,0
475,676,561,225625,456976,314721,180137100,321100,266475,379236,90,0,0
517,678,553,267289,459684,305809,193840878,350526,285901,374934,100,0,0
539,671,567,290521,450241,321489,205066323,361669,305613,380457,110,0,0
568,688,567,322624,473344,321489,221574528,390784,322056,390096,120,0,0
607,703,584,368449,494209,341056,249205064,426721,354488,410552,130,0,0
614,691,576,376996,477481,331776,244381824,424274,353664,398016,140,0,0
644,695,579,414736,483025,335241,259148820,447580,372876,402405,150,0,0
651,697,594,423801,485809,352836,269525718,453747,386694,414018,160,0,0
675,704,600,455625,495616,360000,285120000,475200,405000,422400,170,0,0
682,715,594,465124,511225,352836,289652220,487630,405108,424710,180,0,0
711,722,605,505521,521284,366025,310571910,513342,430155,436810,190,0,0
734,707,587,538756,499849,344569,304616606,518938,430858,415009,200,0,0
727,724,609,528529,524176,370881,320545932,526348,442743,440916,210,0,0
742,736,615,550564,541696,378225,335858880,546112,456330,452640,220,0,0
758,743,610,574564,552049,372100,343548340,563194,462380,453230,230,0,0
734,734,616,538756,538756,379456,331873696,538756,452144,452144,240,0,0
741,729,602,549081,531441,362404,325193778,540189,446082,438858,250,0,0
737,723,596,543169,522729,355216,317579196,532851,439252,430908,255,0,0
399,665,543,159201,442225,294849,144076905,265335,216657,361095,0,10,0
387,666,521,149769,443556,271441,134283582,257742,201627,346986,0,20,0
389,662,528,151321,438244,278784,135969504,257518,205392,349536,0,30,0
404,671,536,163216,450241,287296,145301024,271084,216544,359656,0,40,0
406,673,533,164836,452929,284089,145635854,273238,216398,358709,0,50,0
389,674,527,151321,454276,277729,138172022,262186,205003,355198,0,60,0
418,687,547,174724,471969,299209,157079802,287166,228646,375789,0,70,0
409,698,547,167281,487204,299209,156158654,285482,223723,381806,0,80,0
425,720,550,180625,518400,302500,168300000,306000,233750,396000,0,90,0
439,736,561,192721,541696,314721,181261344,323104,246279,412896,0,100,0
443,747,564,196249,558009,318096,186639444,330921,249852,421308,0,110,0
459,758,586,210681,574564,343396,203882292,347922,268974,444188,0,120,0
457,762,589,208849,580644,346921,205109826,348234,269173,448818,0,130,0
443,776,597,196249,602176,356409,205229496,343768,264471,463272,0,140,0
480,777,597,230400,603729,356409,222657120,372960,286560,463869,0,150,0
451,778,619,203401,605284,383161,217193482,350878,279169,481582,0,160,0
