r,g,b,rr,gg,bb,rgb,rg,rb,bg,tr,tg,tb
0.94,0.39,0.24,0.8836,0.1521,0.0576,0.087984,0.3666,0.2256,0.0936,1,0,0
0.96,0.44,0.22,0.9216,0.1936,0.0484,0.092928,0.4224,0.2112,0.0968,0.941176471,0,0
0.93,0.34,0.27,0.8649,0.1156,0.0729,0.085374,0.3162,0.2511,0.0918,0.784313725,0,0
0.74,0.27,0.15,0.5476,0.0729,0.0225,0.02997,0.1998,0.111,0.0405,0.62745098,0,0
0.4,0.16,0.09,0.16,0.0256,0.0081,0.00576,0.064,0.036,0.0144,0.482352941,0,0
0.29,0.1,0.01,0.0841,0.01,0.0001,0.00029,0.029,0.0029,0.001,0.392156863,0,0
0.27,0.78,0.34,0.0729,0.6084,0.1156,0.071604,0.2106,0.0918,0.2652,0,1,0
0.32,0.77,0.31,0.1024,0.5929,0.0961,0.076384,0.2464,0.0992,0.2387,0,0.941176471,0
0.23,0.74,0.35,0.0529,0.5476,0.1225,0.05957,0.1702,0.0805,0.259,0,0.784313725,0
0.22,0.69,0.32,0.0484,0.4761,0.1024,0.048576,0.1518,0.0704,0.2208,0,0.62745098,0
0.14,0.44,0.13,0.0196,0.1936,0.0169,0.008008,0.0616,0.0182,0.0572,0,0.482352941,0
0.1,0.37,0.11,0.01,0.1369,0.0121,0.00407,0.037,0.011,0.0407,0,0.392156863,0
0.13,0.48,0.78,0.0169,0.2304,0.6084,0.048672,0.0624,0.1014,0.3744,0,0,1
0.12,0.51,0.78,0.0144,0.2601,0.6084,0.047736,0.0612,0.0936,0.3978,0,0,0.941176471
0.05,0.4,0.73,0.0025,0.16,0.5329,0.0146,0.02,0.0365,0.292,0,0,0.784313725
0.1,0.39,0.74,0.01,0.1521,0.5476,0.02886,0.039,0.074,0.2886,0,0,0.62745098
0.18,0.34,0.64,0.0324,0.1156,0.4096,0.039168,0.0612,0.1152,0.2176,0,0,0.482352941
0.08,0.22,0.57,0.0064,0.0484,0.3249,0.010032,0.0176,0.0456,0.1254,0,0,0.392156863
0.98,0.98,0.38,0.9604,0.9604,0.1444,0.364952,0.9604,0.3724,0.3724,1,1,0
0.25,0.76,0.97,0.0625,0.5776,0.9409,0.1843,0.19,0.2425,0.7372,0,1,1
0.96,0.26,0.61,0.9216,0.0676,0.3721,0.152256,0.2496,0.5856,0.1586,1,0,1
0.44,0.49,0.17,0.1936,0.2401,0.0289,0.036652,0.2156,0.0748,0.0833,0.482352941,0.482352941,0
0.05,0.32,0.34,0.0025,0.1024,0.1156,0.00544,0.016,0.017,0.1088,0,0.482352941,0.482352941
0.55,0.13,0.33,0.3025,0.0169,0.1089,0.023595,0.0715,0.1815,0.0429,0.482352941,0,0.482352941
0.97,0.64,0.25,0.9409,0.4096,0.0625,0.1552,0.6208,0.2425,0.16,1,0.482352941,0
0.96,0.39,0.49,0.9216,0.1521,0.2401,0.183456,0.3744,0.4704,0.1911,1,0,0.482352941
0.44,0.8,0.32,0.1936,0.64,0.1024,0.11264,0.352,0.1408,0.256,0.482352941,1,0
0.33,0.38,0.69,0.1089,0.1444,0.4761,0.086526,0.1254,0.2277,0.2622,0.482352941,0,1
0.27,0.77,0.5,0.0729,0.5929,0.25,0.10395,0.2079,0.135,0.385,0,1,0.482352941
0.97,0.66,0.6,0.9409,0.4356,0.36,0.38412,0.6402,0.582,0.396,1,0.482352941,0.482352941
0.44,0.73,0.89,0.1936,0.5329,0.7921,0.285868,0.3212,0.3916,0.6497,0.482352941,0.482352941,1
